Datum,Product,Schorsingen
2019-01-01 00:00:00,RDW_LAAG,1022
2019-01-01 00:00:00,RDW_NORMAAL,1177
2019-01-01 00:00:00,RDW_BSF,1048
2019-01-01 00:00:00,EXTERN_LAAG,1102
2019-01-01 00:00:00,EXTERN_NORMAAL,1134
2019-01-01 00:00:00,EXTERN_BSF,1105
2019-02-01 00:00:00,RDW_LAAG,1174
2019-02-01 00:00:00,RDW_NORMAAL,1119
2019-02-01 00:00:00,RDW_BSF,1128
2019-02-01 00:00:00,EXTERN_LAAG,1122
2019-02-01 00:00:00,EXTERN_NORMAAL,1156
2019-02-01 00:00:00,EXTERN_BSF,1016
2019-03-01 00:00:00,RDW_LAAG,1128
2019-03-01 00:00:00,RDW_NORMAAL,1085
2019-03-01 00:00:00,RDW_BSF,1196
2019-03-01 00:00:00,EXTERN_LAAG,1105
2019-03-01 00:00:00,EXTERN_NORMAAL,1045
2019-03-01 00:00:00,EXTERN_BSF,1168
2019-04-01 00:00:00,RDW_LAAG,1130
2019-04-01 00:00:00,RDW_NORMAAL,1011
2019-04-01 00:00:00,RDW_BSF,1029
2019-04-01 00:00:00,EXTERN_LAAG,1101
2019-04-01 00:00:00,EXTERN_NORMAAL,1082
2019-04-01 00:00:00,EXTERN_BSF,1180
2019-05-01 00:00:00,RDW_LAAG,1145
2019-05-01 00:00:00,RDW_NORMAAL,1034
2019-05-01 00:00:00,RDW_BSF,1143
2019-05-01 00:00:00,EXTERN_LAAG,1088
2019-05-01 00:00:00,EXTERN_NORMAAL,1147
2019-05-01 00:00:00,EXTERN_BSF,1192
2019-06-01 00:00:00,RDW_LAAG,1120
2019-06-01 00:00:00,RDW_NORMAAL,1014
2019-06-01 00:00:00,RDW_BSF,1124
2019-06-01 00:00:00,EXTERN_LAAG,1098
2019-06-01 00:00:00,EXTERN_NORMAAL,1067
2019-06-01 00:00:00,EXTERN_BSF,1190
2019-07-01 00:00:00,RDW_LAAG,1105
2019-07-01 00:00:00,RDW_NORMAAL,1113
2019-07-01 00:00:00,RDW_BSF,1038
2019-07-01 00:00:00,EXTERN_LAAG,1192
2019-07-01 00:00:00,EXTERN_NORMAAL,1052
2019-07-01 00:00:00,EXTERN_BSF,1081
2019-08-01 00:00:00,RDW_LAAG,1073
2019-08-01 00:00:00,RDW_NORMAAL,1070
2019-08-01 00:00:00,RDW_BSF,1001
2019-08-01 00:00:00,EXTERN_LAAG,1123
2019-08-01 00:00:00,EXTERN_NORMAAL,1043
2019-08-01 00:00:00,EXTERN_BSF,1175
2019-09-01 00:00:00,RDW_LAAG,1018
2019-09-01 00:00:00,RDW_NORMAAL,1179
2019-09-01 00:00:00,RDW_BSF,1143
2019-09-01 00:00:00,EXTERN_LAAG,1182
2019-09-01 00:00:00,EXTERN_NORMAAL,1099
2019-09-01 00:00:00,EXTERN_BSF,1175
